customer_id,persona,age,gender,city,city_tier,occupation,monthly_income,household_size,loyalty_program_member,preferred_payment_method,app_engagement_score,price_sensitivity_score,impulsiveness_score,health_consciousness_score,discount_affinity_score,late_night_ordering_tendency,weekend_ordering_tendency,brand_loyalty_score,churn_risk_profile
CUST000001,Young Professionals,35,Male,Mumbai,Metro,Doctor,147196,2,0,UPI,6.31,1.29,6.37,5.93,4.41,6.05,7.44,7.31,4.78
CUST000002,Health Conscious,18,Male,Nagpur,Tier-2,Designer,96463,3,1,Card,2.94,7.87,2.31,8.76,3.08,4.1,3.38,1.39,5.13
CUST000003,Young Professionals,53,Female,Jaipur,Tier-1,Business,60328,5,0,UPI,1.41,3.05,7.16,5.32,2.93,1.91,3.5,6.72,4.28
CUST000004,Families,60,Female,Ahmedabad,Tier-1,Engineer,67460,5,0,Card,2.47,4.42,4.97,6.92,6.67,7.16,8.59,7.98,3.06
CUST000005,Young Professionals,35,Male,Ahmedabad,Tier-1,Doctor,102581,5,1,Card,6.9,4.56,9.66,6.84,3.06,3.22,6.05,3.36,6.26
CUST000006,Health Conscious,26,Other,Ahmedabad,Tier-1,Consultant,88746,1,0,UPI,2.38,2.44,4.04,9.19,3.15,6.36,5.21,3.26,5.98
CUST000007,Young Professionals,52,Female,Bengaluru,Metro,Business,139353,1,1,Wallet,2.42,1.03,8.89,7.88,5.89,7.86,5.57,1.96,6.63
CUST000008,Students,28,Other,Delhi,Metro,Student,27252,5,1,Wallet,1.18,9.36,8.51,6.33,7.92,1.52,8.9,9.52,1.77
CUST000009,Health Conscious,52,Male,Bengaluru,Metro,Manager,159693,6,1,Card,3.39,8.85,3.27,8.42,3.62,7.57,2.81,3.81,9.96
CUST000010,Families,46,Male,Lucknow,Tier-2,Doctor,107839,2,0,COD,1.19,5.99,3.77,5.02,7.12,1.53,1.61,1.28,3.97
CUST000011,Students,49,Male,Pune,Tier-1,Manager,36921,6,1,Card,8.06,8.27,5.76,3.39,8.29,4.81,5.2,7.56,7.06
CUST000012,Young Professionals,39,Male,Mumbai,Metro,Doctor,102772,2,0,Wallet,2.26,2.65,7.85,8.5,2.3,8.27,8.7,1.88,6.87
CUST000013,Young Professionals,33,Male,Bengaluru,Metro,Designer,148771,4,1,Card,8.78,9.12,6.66,5.01,3.56,9.34,8.07,3.57,7.27
CUST000014,Health Conscious,36,Male,Delhi,Metro,Student,84890,5,0,COD,1.51,6.26,3.51,9.71,2.47,9.65,1.72,2.67,6.36
CUST000015,Students,54,Male,Jaipur,Tier-1,Student,18928,5,0,Wallet,6.92,6.09,6.27,4.04,9.01,3.83,3.39,2.18,6.81
CUST000016,Health Conscious,22,Male,Ahmedabad,Tier-1,Consultant,158548,5,0,UPI,5.84,5.55,2.4,8.7,2.21,3.2,3.56,4.94,5.89
CUST000017,Families,18,Other,Nagpur,Tier-2,Teacher,109329,6,0,Card,3.38,9.01,4.23,5.47,5.85,2.9,4.09,7.19,8.68
CUST000018,Health Conscious,21,Male,Pune,Tier-1,Designer,178664,3,0,UPI,4.0,2.18,4.94,8.32,3.33,7.35,6.05,2.01,9.51
CUST000019,Students,41,Other,Indore,Tier-2,Manager,16180,4,0,UPI,3.77,9.09,8.18,6.44,9.7,2.89,3.25,1.93,8.02
CUST000020,Health Conscious,27,Male,Nagpur,Tier-2,Manager,158235,2,1,UPI,2.61,9.32,4.35,8.82,4.01,7.62,3.23,2.43,7.31
CUST000021,Health Conscious,48,Male,Mumbai,Metro,Doctor,172537,4,1,COD,8.38,8.84,2.67,9.32,3.2,3.51,1.62,7.96,4.16
CUST000022,Health Conscious,19,Male,Indore,Tier-2,Teacher,103404,2,1,UPI,1.98,4.91,4.19,8.63,3.82,5.6,4.47,6.19,3.29
CUST000023,Health Conscious,52,Other,Mumbai,Metro,Doctor,128146,3,1,UPI,9.54,9.29,3.87,9.33,2.37,9.1,5.56,7.0,3.94
CUST000024,Families,30,Female,Indore,Tier-2,Designer,56683,6,0,COD,4.65,8.5,2.91,5.63,7.36,6.46,3.9,4.98,7.08
CUST000025,Health Conscious,23,Female,Delhi,Metro,Business,146356,1,0,COD,3.02,2.79,2.07,8.49,3.43,8.65,1.66,4.73,6.67
CUST000026,Students,43,Male,Jaipur,Tier-1,Manager,31199,6,0,UPI,8.01,2.97,8.22,5.78,8.39,6.02,9.26,2.09,2.2
CUST000027,Health Conscious,56,Female,Indore,Tier-2,Consultant,133259,5,1,Wallet,9.07,7.69,3.42,8.52,2.74,6.74,7.89,5.69,6.64
CUST000028,Families,36,Male,Lucknow,Tier-2,Teacher,50155,3,1,UPI,2.25,3.08,4.08,7.12,5.19,4.67,5.88,4.74,2.86
CUST000029,Health Conscious,55,Other,Jaipur,Tier-1,Student,178598,5,1,Wallet,1.05,4.17,4.26,9.71,4.86,4.77,7.73,5.92,6.43
CUST000030,Students,35,Female,Lucknow,Tier-2,Consultant,22190,1,1,COD,7.02,8.18,7.9,6.36,9.76,9.83,5.81,9.16,6.33
CUST000031,Young Professionals,45,Male,Bengaluru,Metro,Consultant,134246,2,0,COD,4.41,2.9,7.31,8.04,3.52,7.77,8.49,3.27,1.74
CUST000032,Young Professionals,40,Male,Indore,Tier-2,Engineer,56826,6,0,UPI,9.55,2.79,6.08,5.61,2.5,7.03,6.08,2.96,7.3
CUST000033,Families,56,Other,Delhi,Metro,Engineer,119415,2,1,UPI,6.21,9.36,3.73,7.72,6.13,9.47,2.78,6.33,8.48
CUST000034,Students,37,Other,Bengaluru,Metro,Engineer,37845,5,0,COD,5.79,6.95,5.28,5.59,7.04,4.78,5.41,4.9,4.26
CUST000035,Health Conscious,29,Other,Delhi,Metro,Teacher,117080,5,1,Wallet,4.92,7.58,2.81,9.7,4.49,1.78,8.93,3.19,5.18
CUST000036,Health Conscious,49,Female,Ahmedabad,Tier-1,Manager,63761,4,0,COD,8.18,4.06,4.64,9.4,2.83,1.09,9.53,1.77,7.48
CUST000037,Health Conscious,33,Other,Indore,Tier-2,Consultant,159374,6,1,Wallet,8.14,1.84,2.66,9.38,2.92,6.23,5.26,5.78,4.83
CUST000038,Families,35,Female,Ahmedabad,Tier-1,Teacher,99473,2,0,Card,3.84,7.69,4.85,7.07,5.57,7.65,3.49,6.31,7.84
