order_item_id,order_id,product_id,quantity,unit_price,discount,final_price
ITEM00000001,ORD0018694,PROD00130,3,615.7,108.19,1847.1
ITEM00000002,ORD0007968,PROD01760,4,650.37,57.75,2601.48
ITEM00000003,ORD0038053,PROD01007,3,136.99,4.04,410.97
ITEM00000004,ORD0045078,PROD00272,1,586.19,57.04,586.19
ITEM00000005,ORD0038664,PROD01780,4,451.71,81.57,1806.84
ITEM00000006,ORD0018711,PROD01612,3,665.28,20.17,1995.84
ITEM00000007,ORD0070184,PROD01873,4,627.58,42.25,2510.32
ITEM00000008,ORD0064502,PROD00233,4,172.72,31.53,690.88
ITEM00000009,ORD0048974,PROD01821,3,247.7,12.01,743.1
ITEM00000010,ORD0073690,PROD01048,2,630.51,122.1,1261.02
ITEM00000011,ORD0083470,PROD01645,4,471.62,41.17,1886.48
ITEM00000012,ORD0017037,PROD01103,1,129.26,24.93,129.26
ITEM00000013,ORD0066223,PROD00389,1,77.31,5.4,77.31
ITEM00000014,ORD0062891,PROD00197,3,310.56,41.69,931.68
ITEM00000015,ORD0075208,PROD00952,2,364.86,32.98,729.72
ITEM00000016,ORD0041838,PROD01304,4,661.72,73.08,2646.88
ITEM00000017,ORD0040995,PROD01125,4,199.67,28.13,798.68
ITEM00000018,ORD0008752,PROD00829,4,381.86,66.76,1527.44
ITEM00000019,ORD0021420,PROD00757,2,255.81,18.69,511.62
ITEM00000020,ORD0004463,PROD01586,1,461.23,71.89,461.23
ITEM00000021,ORD0088943,PROD00057,1,561.93,49,561.93
ITEM00000022,ORD0027545,PROD00889,3,338.88,13,1016.64
ITEM00000023,ORD0047168,PROD00388,4,94.87,12.13,379.48
ITEM00000024,ORD0094646,PROD00888,4,279.88,33.97,1119.52
ITEM00000025,ORD0018521,PROD01963,3,545.65,69.23,1636.95
ITEM00000026,ORD0049229,PROD01172,1,648.43,89.44,648.43
ITEM00000027,ORD0022722,PROD00194,1,579.18,100.59,579.18
ITEM00000028,ORD0095211,PROD00541,3,667.13,25.71,2001.39
ITEM00000029,ORD0042580,PROD00353,2,266,8.1,532
ITEM00000030,ORD0086411,PROD00057,4,119.93,15.13,479.72
ITEM00000031,ORD0082103,PROD00918,1,48.63,2.54,48.63
ITEM00000032,ORD0007981,PROD01143,4,269.62,45.2,1078.48
ITEM00000033,ORD0010802,PROD00612,4,51.28,2.61,205.12
ITEM00000034,ORD0062991,PROD00329,2,454.22,33.8,908.44
ITEM00000035,ORD0064729,PROD00190,1,653.02,55.9,653.02
ITEM00000036,ORD0010458,PROD01967,4,569.97,57.59,2279.88
ITEM00000037,ORD0036294,PROD00144,2,612.84,11.05,1225.68
ITEM00000038,ORD0029459,PROD00609,2,54.02,2.19,108.04
ITEM00000039,ORD0015613,PROD01363,1,457.84,47.49,457.84
ITEM00000040,ORD0012527,PROD00434,2,415.19,41.46,830.38
ITEM00000041,ORD0031293,PROD00680,4,68.62,12.68,274.48
ITEM00000042,ORD0094164,PROD01232,4,650.63,36.27,2602.52
ITEM00000043,ORD0096915,PROD00205,2,621.59,8.81,1243.18
ITEM00000044,ORD0099414,PROD01869,2,314.11,3.97,628.22
ITEM00000045,ORD0085509,PROD01408,2,651.16,68.41,1302.32
ITEM00000046,ORD0099460,PROD01874,2,220.94,43.05,441.88
ITEM00000047,ORD0064404,PROD00731,4,659.02,110.42,2636.08
ITEM00000048,ORD0047914,PROD01131,3,201.25,8.35,603.75
ITEM00000049,ORD0035249,PROD00396,3,596.11,69.36,1788.33
ITEM00000050,ORD0009923,PROD01902,1,375.37,70.12,375.37
ITEM00000051,ORD0072087,PROD00395,3,585.69,61.27,1757.07
ITEM00000052,ORD0031607,PROD01519,3,213.09,1.95,639.27
ITEM00000053,ORD0094996,PROD00335,1,227.36,28.25,227.36
ITEM00000054,ORD0070373,PROD00171,4,387.14,9.01,1548.56
ITEM00000055,ORD0086338,PROD01847,3,247.13,32.5,741.39
ITEM00000056,ORD0043795,PROD01665,3,578.18,46.51,1734.54
ITEM00000057,ORD0049589,PROD01358,1,415.49,45.84,415.49
ITEM00000058,ORD0023070,PROD01353,1,336.87,8,336.87
ITEM00000059,ORD0060426,PROD01965,4,344.44,7.99,1377.76
ITEM00000060,ORD0066476,PROD01119,1,42.17,7.5,42.17
ITEM00000061,ORD0049777,PROD00420,1,478.88,10.66,478.88
ITEM00000062,ORD0066578,PROD01555,4,536.89,13.21,2147.56
ITEM00000063,ORD0063622,PROD01347,3,698.94,64.63,2096.82
ITEM00000064,ORD0001353,PROD01306,3,63.03,0.96,189.09
ITEM00000065,ORD0069568,PROD00974,1,55.4,4.51,55.4
ITEM00000066,ORD0016575,PROD00842,4,243.97,19.94,975.88
ITEM00000067,ORD0086846,PROD00435,4,376.77,0.5,1507.08
ITEM00000068,ORD0006929,PROD01193,2,116.09,20.94,232.18
ITEM00000069,ORD0042486,PROD00775,3,220.88,29.42,662.64
ITEM00000070,ORD0006484,PROD01717,2,228.35,16.79,456.7
ITEM00000071,ORD0078175,PROD01737,3,165.11,25.21,495.33
ITEM00000072,ORD0008669,PROD01700,1,128.34,0,128.34
ITEM00000073,ORD0068197,PROD01353,2,167.3,1.02,334.6
ITEM00000074,ORD0058630,PROD00314,2,61.43,4.25,122.86
